"id","code","name","account_type","reconcile","chart_template_id/id","tag_ids/id"
"chart75001","750.01","Przychody z operacji finansowych Dywidendy od powiązanych","income_other","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_G_I_A,trilab_pl_reports.RZiSKalk_J_I_A"
"chart75002","750.02","Przychody z operacji finansowych Dywidendy od pozostałych","income_other","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_G_I_B,trilab_pl_reports.RZiSKalk_J_I_B"
"chart75011","750.11","Przychody z operacji finansowych Odsetki budżetowe","income_other","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_G_II,trilab_pl_reports.RZiSKalk_J_II"
"chart75012","750.12","Przychody z operacji finansowych Odsetki inne","income_other","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_G_II,trilab_pl_reports.RZiSKalk_J_II"
"chart75021","750.21","Przychody z operacji finansowych Zysk z rozchodu aktywów","income_other","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_G_III,trilab_pl_reports.RZiSKalk_J_III,trilab_pl_reports.RZiSPor_H_II,trilab_pl_reports.RZiSKalk_K_II"
"chart75031","750.31","Przychody z operacji finansowych Dodatnie różnice kursowe Zrealizowane","income_other","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_G_V_rk,trilab_pl_reports.RZiSKalk_J_V_rk,trilab_pl_reports.RZiSPor_H_IV_rk,trilab_pl_reports.RZiSKalk_K_IV_rk"
"chart75032","750.32","Przychody z operacji finansowych Dodatnie różnice kursowe Bilansowe","income_other","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_G_V_rk,trilab_pl_reports.RZiSKalk_J_V_rk,trilab_pl_reports.RZiSPor_H_IV_rk,trilab_pl_reports.RZiSKalk_K_IV_rk"
"chart75091","750.91","Przychody z operacji finansowych Pozostałe","income_other","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_G_V_poz,trilab_pl_reports.RZiSKalk_J_V_poz"
"chart75111","751.11","Koszty z operacji finansowych Odsetki budżetowe","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_H_I,trilab_pl_reports.RZiSKalk_K_I"
"chart75112","751.12","Koszty z operacji finansowych Odsetki pozostałe","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_H_I,trilab_pl_reports.RZiSKalk_K_I"
"chart75121","751.21","Koszty z operacji finansowych Strata z rozchodu aktywów","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_H_II,trilab_pl_reports.RZiSKalk_K_II,trilab_pl_reports.RZiSPor_G_III,trilab_pl_reports.RZiSKalk_J_III"
"chart75131","751.31","Koszty z operacji finansowych Różnice kursowe Zrealizowane","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_G_V_rk,trilab_pl_reports.RZiSKalk_J_V_rk,trilab_pl_reports.RZiSPor_H_IV_rk,trilab_pl_reports.RZiSKalk_K_IV_rk"
"chart75132","751.32","Koszty z operacji finansowych Różnice kursowe Bilansowe","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_G_V_rk,trilab_pl_reports.RZiSKalk_J_V_rk,trilab_pl_reports.RZiSPor_H_IV_rk,trilab_pl_reports.RZiSKalk_K_IV_rk"
"chart75191","751.91","Koszty z operacji finansowych Pozostałe","expense","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_H_IV_poz,trilab_pl_reports.RZiSKalk_K_IV_poz"
"chart76001","760.01","Pozostałe przychody operacyjne Dotacje","income_other","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_D_II,trilab_pl_reports.RZiSKalk_G_II"
"chart76002","760.02","Pozostałe przychody operacyjne Zysk z rozchodu niefinansowych aktywów trwałych","income_other","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.RZiSPor_D_I,trilab_pl_reports.RZiSKalk_G_I,trilab_pl_reports.RZiSPor_E_I,trilab_pl_reports.RZiSKalk_H_I"
